n,r,m
review,is a review of,ECBs monetary policy strategy
financial stability,addressed by,microprudential supervision
financial stability,ensured by,reliable benchmarks
financial stability,worsened since,December 2021
financial stability,not fully understood impact of,landscape of corporate debt financing
employment,in,euro area
employment,in,first quarter of 2021
employment,grew by,0 point 5percent
employment,compared to,fourth quarter of 2019
employment,during,COVID 19 crisis
employment,location,United States
employment,location,euro area
employment,increase in,fourth quarter of 2020
employment,increased by,2 point 3percent
employment,increased by,1percent
employment,cause of,fundamentals
employment,declined in,first quarter of 2021
employment,increased in,fourth quarter of 2020
employment,increased in,first quarter of 2023
employment,covered by,questions
employment,reduces,price of foreign inputs
employment,decrease by,2 point 2percent
employment,decrease by,5 point 5percent
employment,decrease by,1 point 9percent
employment,outlook for,the near term
employment,grew in,fourth quarter of 2021
employment,increased since,fourth quarter of 2019
employment,has heterogeneous impact related to,sectoral composition
employment,R Outlook,China
employment,was below level of,2 point 2percent
employment,state during,pandemic
employment,outlook,China
employment,was below level,fourth quarter of 2019
bn26,conclusion time,end of 2020
Eurosystem,related to,purchases of government securities
Eurosystem,supports,Paris Agreement
Eurosystem,will engage with for,review
Eurosystem,will engage with,all stakeholders
Eurosystem,contributes to,assumptions
Eurosystem,involved in,asset purchase programme APP
Eurosystem,has,asset purchase programme APP
Eurosystem,has,Eurosystem balance sheet
Eurosystem,part of,maturing securities
Eurosystem,source of,money creation
Eurosystem,through,ongoing asset purchases
Eurosystem,has planned work,OOH price indices
Eurosystem,maintain,continuous market presence
Eurosystem,under programs,APP
Eurosystem,under programs,PEPP
Eurosystem,will not reinvest,principal payments
Eurosystem,decided in response to,coronavirus COVID 19 crisis
Eurosystem,does not reinvest all,principal payments
Eurosystem,retain,smooth reinvestment approach
Eurosystem,can provide,adequate collateral
Eurosystem,decided due to,financial market volatility
Eurosystem,under programmes,pandemic emergency purchase programme
Eurosystem,under programmes,asset purchase programme
Eurosystem,decided measures,measures
Eurosystem,substantially underestimated,inflation
Eurosystem,net purchases of,government securities
Eurosystem,drained liquidity from,reduction of the Eurosystem balance sheet
Eurosystem,remuneration ceiling effective date,1 May 2023
Eurosystem,discontinued,net asset purchases
Eurosystem,net purchases contribution from,government securities
Eurosystem,check with,reporting agents
Eurosystem,remuneration ceiling for,remuneration of euro area government deposits
Eurosystem,stopped full reinvestment time reference,March 2023
Eurosystem,monitors compliance with,MMSR Regulation
Eurosystem,action resulted in reduction of,reduction of the Eurosystem balance sheet
global economic activity excluding euro area,has current outlook,bn27
bn27,outlook status,subdued
bn27,outlook trend,signs of stabilisation
global composite output PMI excluding euro area,had change in,December
global composite output PMI excluding euro area,change description,increased moderately
December,value,10 point 2percent
December,is,overlap or link month
December,marked by,winter holiday season
manufacturing component,showed recovery in,bn28
bn28,recovery period,fourth quarter
global manufacturing activity,condition description,gradually weakened
global manufacturing activity,had condition starting,early 2018
bn29,condition month,December
bn29,condition change,grew further
bn29,condition status,resilient
Phase 1 deal,may affect,demand for EU exports
Phase 1 deal,includes,commitment to purchase goods and services
Phase 1 deal,aims to bring changes in,sectors
China,related to,pandemic related lockdowns
China,related to,annual headline inflation
China,compared to,the euro area
China,involved in,Phase 1 trade deal
China,part of,rebound
China,influences,energy demand
China,has large FTZs count,bn128
China,supported,global economy
China,accumulated,US dollar reserves
China,is part of,major non OECD EMEs
China,contribution to,global GDP growth
China,impact on,global oil supplies
China,caused,energy demand
China,R record,positive economic growth
China,R annual growth rate,annual growth rate
China,R controlling pandemic aspect,broadly under control
China,contributed to,global imports
China,R GDP increase quarter,fourth quarter
China,impacted,global economic activity
China,introduced,COVID 19 lockdowns
China,R economy recovery aspect,recovery momentum
China,recovered to,20percent below 2019 levels
China,smaller losses,trade fragmentation
China,balance challenge,economic growth
China,balance challenge,corporate sector
China,imposed,lockdowns
China,increase in share of,global credit
